Technology Area,Number of Awards,Total Funding,Avg Funding per Award
"Artificial Intelligence, Biotechnology, Data and Cybersecurity",10,7985728.0,798572.8
"Disaster Prevention and Mitigation, Advanced Computing and Semiconductors",7,7944424.0,1134917.7142857143
"Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing",19,7539604.0,396821.2631578947
"Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",16,7469308.0,466831.75
"Disaster Prevention and Mitigation, Data and Cybersecurity, Artificial Intelligence",11,6774757.0,615887.0
"Biotechnology, Advanced Communications",20,6616256.0,330812.8
"Artificial Intelligence, Data and Cybersecurity, Disaster Prevention and Mitigation",5,6598819.0,1319763.8
"Advanced Communications, Artificial Intelligence",27,6564859.0,243142.92592592593
"Advanced Materials, Biotechnology",24,6451131.0,268797.125
"Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",13,6187711.0,475977.76923076925
"Biotechnology, Advanced Computing and Semiconductors",17,6162150.0,362479.4117647059
"Data and Cybersecurity, Disaster Prevention and Mitigation, Artificial Intelligence",7,6153325.0,879046.4285714285
"Artificial Intelligence, Advanced Materials, Data and Cybersecurity",2,6000000.0,3000000.0
"Data and Cybersecurity, Biotechnology, Artificial Intelligence",4,5953368.0,1488342.0
"Robotics and Advanced Manufacturing, Biotechnology",19,5929526.0,312080.3157894737
"Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence",18,5741360.0,318964.44444444444
"Data and Cybersecurity, Robotics and Advanced Manufacturing, Artificial Intelligence, Disaster Prevention and Mitigation",2,5730807.0,2865403.5
"Disaster Prevention and Mitigation, Artificial Intelligence, Biotechnology",9,5197165.0,577462.7777777778
"Artificial Intelligence, Biotechnology, Robotics and Advanced Manufacturing",2,5050000.0,2525000.0
"Advanced Materials, Advanced Computing and Semiconductors, Quantum Information Science and Technology, Disaster Prevention and Mitigation",1,5000000.0,5000000.0
"Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation, Biotechnology",1,5000000.0,5000000.0
"Quantum Information Science and Technology, Biotechnology",1,5000000.0,5000000.0
"Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity",1,5000000.0,5000000.0
"Advanced Materials, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation, Advanced Communications",1,5000000.0,5000000.0
"Artificial Intelligence, Data and Cybersecurity, Disaster Prevention and Mitigation, Biotechnology",1,4998973.0,4998973.0
"Data and Cybersecurity, Advanced Materials, Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology",1,4955857.0,4955857.0
"Robotics and Advanced Manufacturing, Advanced Communications",11,4708248.0,428022.54545454547
"Disaster Prevention and Mitigation, Data and Cybersecurity",10,4360963.0,436096.3
"Data and Cybersecurity, Advanced Computing and Semiconductors, Artificial Intelligence",8,4188343.0,523542.875
"Advanced Materials, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",5,3895888.6999999997,779177.74
"Data and Cybersecurity, Disaster Prevention and Mitigation",7,3828695.0,546956.4285714285
"Advanced Computing and Semiconductors, Quantum Information Science and Technology",9,3774575.0,419397.22222222225
"Exploratory Activities, Advanced Communications, Robotics and Advanced Manufacturing",1,3574513.0,3574513.0
"Advanced Materials, Advanced Computing and Semiconductors",10,3413425.0,341342.5
"Artificial Intelligence, Data and Cybersecurity, Advanced Communications",5,3293012.0,658602.4
"Artificial Intelligence, Robotics and Advanced Manufacturing, Data and Cybersecurity",4,2962192.0,740548.0
"Biotechnology, Advanced Materials, Robotics and Advanced Manufacturing",8,2897641.0,362205.125
"Advanced Computing and Semiconductors, Advanced Materials, Robotics and Advanced Manufacturing",10,2814198.0,281419.8
"Biotechnology, Data and Cybersecurity",6,2696946.0,449491.0
"Advanced Energy and Industrial Efficiency Technologies, Biotechnology",7,2643389.0,377627.0
"Biotechnology, Advanced Energy and Industrial Efficiency Technologies",10,2509620.0,250962.0
"Disaster Prevention and Mitigation, Advanced Materials",9,2509457.0,278828.55555555556
"Advanced Communications, Data and Cybersecurity",6,2434931.0,405821.8333333333
"Robotics and Advanced Manufacturing, Biotechnology, Advanced Materials",3,2224550.0,741516.6666666666
"Artificial Intelligence, Advanced Computing and Semiconductors, Data and Cybersecurity",2,2200000.0,1100000.0
"Data and Cybersecurity, Artificial Intelligence, Biotechnology",5,2174658.0,434931.6
"Artificial Intelligence, Data and Cybersecurity, Advanced Computing and Semiconductors",3,2127054.0,709018.0
"Data and Cybersecurity, Advanced Communications",8,2074718.0,259339.75
"Data and Cybersecurity, Advanced Computing and Semiconductors, Advanced Communications",3,2049996.0,683332.0
"Biotechnology, Robotics and Advanced Manufacturing, Artificial Intelligence",3,2047734.0,682578.0
"Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors, Artificial Intelligence",3,2025000.0,675000.0
"Data and Cybersecurity, Artificial Intelligence, Advanced Computing and Semiconductors",4,2021916.0,505479.0
"Advanced Materials, Advanced Computing and Semiconductors, Artificial Intelligence, Disaster Prevention and Mitigation",1,1985500.0,1985500.0
"Advanced Computing and Semiconductors, Artificial Intelligence, Data and Cybersecurity",2,1963555.0,981777.5
"Quantum Information Science and Technology, Artificial Intelligence",2,1958332.0,979166.0
"Robotics and Advanced Manufacturing, Biotechnology, Artificial Intelligence, Disaster Prevention and Mitigation",3,1950000.0,650000.0
"Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity",5,1905448.0,381089.6
"Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies",6,1875177.0,312529.5
"Biotechnology, Artificial Intelligence, Advanced Computing and Semiconductors",4,1874653.0,468663.25
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Disaster Prevention and Mitigation",3,1854996.0,618332.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Disaster Prevention and Mitigation",5,1839647.0,367929.4
"Robotics and Advanced Manufacturing, Advanced Communications, Artificial Intelligence",3,1824407.0,608135.6666666666
"Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies",8,1788226.0,223528.25
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",3,1775000.0,591666.6666666666
"Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing, Artificial Intelligence",3,1774935.0,591645.0
"Advanced Communications, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing",4,1760214.0,440053.5
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing",5,1741912.0,348382.4
"Data and Cybersecurity, Advanced Communications, Artificial Intelligence",4,1550000.0,387500.0
"Advanced Materials, Artificial Intelligence",7,1508552.0,215507.42857142858
"Advanced Communications, Artificial Intelligence, Advanced Computing and Semiconductors",1,1500000.0,1500000.0
"Data and Cybersecurity, Advanced Computing and Semiconductors, Quantum Information Science and Technology",1,1500000.0,1500000.0
"Advanced Computing and Semiconductors, Data and Cybersecurity, Advanced Communications",1,1500000.0,1500000.0
"Data and Cybersecurity, Artificial Intelligence, Robotics and Advanced Manufacturing",1,1499996.0,1499996.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies",6,1499406.0,249901.0
"Data and Cybersecurity, Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence",1,1499375.0,1499375.0
"Biotechnology, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",1,1494484.0,1494484.0
"Data and Cybersecurity, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",1,1491300.0,1491300.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Advanced Communications",5,1405757.0,281151.4
